date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200807,169967.0,3,-0.4999999999999998,-0.8660254037844388,19.0,0.0767,133636.1,137749.46666666667,125971.0,79290.0,133636.1,132133.23333333334,130369.4827586207,137749.46666666667,124500.4,128837.6551724138,152516.33333333334,137749.46666666667,131847.80919540228
200808,116731.0,3,-0.8660254037844384,-0.5000000000000004,18.0,0.0765,133636.1,137749.46666666667,169967.0,161611.0,133636.1,132133.23333333334,130369.4827586207,137749.46666666667,137749.46666666667,128837.6551724138,137556.33333333334,137749.46666666667,133333.1111111111
200809,139203.0,3,-1.0,-1.8369701987210297e-16,22.0,0.0937,132133.23333333334,124500.4,116731.0,125971.0,133636.1,133636.1,130369.4827586207,137749.46666666667,137749.46666666667,124500.4,141967.0,133333.11111111112,133333.1111111111
200810,160750.0,4,-0.8660254037844386,0.5000000000000001,23.0,0.0981,133655.41379310345,141076.24137931035,139203.0,169967.0,132133.23333333334,133636.1,132133.23333333334,124500.4,137749.46666666667,124500.4,138894.66666666666,134442.03601532566,136095.75134099618
200811,204702.0,4,-0.5000000000000004,0.8660254037844384,20.0,0.112,154216.44827586206,154094.55172413794,160750.0,116731.0,133655.41379310345,133636.1,132133.23333333334,141076.24137931035,137749.46666666667,137749.46666666667,168218.33333333334,139890.39770114943,138819.93218390807
200812,229107.0,4,-2.4492935982947064e-16,1.0,22.0,0.1085,141579.9,142557.76666666666,204702.0,139203.0,154216.44827586206,132133.23333333334,133636.1,154094.55172413794,124500.4,137749.46666666667,198186.33333333334,145909.51992337164,139621.3155172414
200901,56958.0,1,0.49999999999999994,0.8660254037844387,17.0,0.034,154216.44827586206,154094.55172413794,229107.0,160750.0,141579.9,133655.41379310345,133636.1,142557.76666666666,141076.24137931035,137749.46666666667,163589.0,150248.95670498084,142345.49636015328
200902,117515.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,154216.44827586206,154094.55172413794,56958.0,204702.0,154216.44827586206,154216.44827586206,133636.1,154094.55172413794,154094.55172413794,137749.46666666667,134526.66666666666,150248.95670498084,145069.67720306513
200903,165092.0,1,1.0,6.123233995736766e-17,22.0,0.0679,154216.44827586206,154094.55172413794,117515.0,229107.0,154216.44827586206,141579.9,132133.23333333334,154094.55172413794,142557.76666666666,124500.4,113188.33333333333,154094.55172413794,150002.0358237548
200904,210295.0,2,0.8660254037844387,-0.49999999999999983,21.0,0.0913,142183.76666666666,154094.55172413794,165092.0,56958.0,154216.44827586206,154216.44827586206,133655.41379310345,154094.55172413794,154094.55172413794,141076.24137931035,164300.66666666666,154094.55172413794,152171.7542145594
